StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,consent,partisanship,heardOfRCV,votedRCV,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,selfreportPlurality,selfreportRCV,comp1_pl,comp1_rcv,comp2_pl,comp2_rcv,comp3_Bwins,what_happens,mandateLib,PrimaryFair,PrimaryFair_DO,PrimaryMandate,PrimaryMandate_DO,feedback,assignmentId,projectId,InfoTreatment,ThirdParty,SecondPartyVS,ThirdPartyVS,Create New Field or Choose From Dropdown...,FL_18_DO,FL_12_DO,FL_15_DO,fairness,mandate,fairness_DO,mandate_DO,StartTime (America/Chicago),CompletionTime (America/Chicago),CompletionType,CompletionCode,Payment,Bonus,Fees,Status.y,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Voter Registration,Country Of Residence,Household Income,Race,Employment Status
2025-04-28T09:42:48Z,2025-04-28T09:47:59Z,IP Address,97.97.243.142,100,311,TRUE,2025-04-28T09:48:00Z,27.7431,-82.6909,EN,0.8999999761581421,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,Yes,0.731,94.287,96.075,2,Perfectly well,Perfectly well,Candidate A,Not enough information,Candidate A,Not enough information,Not enough information,Your vote goes to your next preferred candidate,NA,Candidate A winning (by plurality rules),Candidate B winning (by RCV rules)|Candidate A winning (by plurality rules)|Don't know,Candidate A,Candidate A|Candidate B|Don't know,NA,269280e7-8964-4f8b-bfcc-848512b007e5,7614aeee-b6cd-4754-8f76-c9f3ec004976,Video,Green,35,18,NA,FL_20|FL_19|FL_21,FL_13,FL_16,The Republican winning (by plurality rules),The Democrat,The Democrat winning (by RCV rules)|The Republican winning (by plurality rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:46 AM,04/28/2025 10:48:05 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,28,"Bachelor's degree (for example: BA, AB, BS)",Female,Retail,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$10,000-$19,999",White,Part-time
2025-04-28T09:42:46Z,2025-04-28T09:48:01Z,IP Address,100.14.179.229,100,314,TRUE,2025-04-28T09:48:01Z,40.1215,-75.3269,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,No,Not sure,NA,NA,NA,NA,Moderately well,Moderately well,Candidate A,Not enough information,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,NA,Candidate B winning (by RCV rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate B,Candidate B|Candidate A|Don't know,NA,94f5ec84-a053-4bfc-908c-4253e47e8bf9,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Green,44,9,NA,FL_20|FL_21|FL_19,FL_13,FL_17,The Democrat winning (by RCV rules),The Democrat,The Republican winning (by plurality rules)|The Democrat winning (by RCV rules)|Don't know,The Republican|The Democrat|Don't know,04/28/2025 10:42:45 AM,04/28/2025 10:48:02 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,44,"Bachelor's degree (for example: BA, AB, BS)",Male,Legal,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,Yes,United States,"$60,000-$69,999",White,Full-time
2025-04-28T09:42:48Z,2025-04-28T09:49:07Z,IP Address,24.185.179.250,100,379,TRUE,2025-04-28T09:49:08Z,41.2098,-74.6077,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,No,45.648,119.932,120.954,3,Perfectly well,Very well,Candidate A,Not enough information,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,NA,Candidate B winning (by RCV rules),Candidate B winning (by RCV rules)|Candidate A winning (by plurality rules)|Don't know,Candidate B,Candidate A|Candidate B|Don't know,Well done. Really enjoyed learning more about ranked choice voting. Hopefully more places begin implementing it.,7bbe2107-37fd-4945-a846-ce70c310da73,7614aeee-b6cd-4754-8f76-c9f3ec004976,Video,Green,44,9,NA,FL_20|FL_19|FL_21,FL_13,FL_17,The Democrat winning (by RCV rules),The Democrat,The Democrat winning (by RCV rules)|The Republican winning (by plurality rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:41 AM,04/28/2025 10:49:15 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,41,"Bachelor's degree (for example: BA, AB, BS)",Male,Marketing and Sales,In a civil union/partnership,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,Yes,United States,"$70,000-$79,999",White,Full-time
2025-04-28T09:42:43Z,2025-04-28T09:49:12Z,IP Address,71.238.91.246,100,388,TRUE,2025-04-28T09:49:12Z,45.4887,-122.5091,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Republican,Yes,Yes,NA,NA,NA,NA,Perfectly well,Very well,Candidate A,Not enough information,Candidate A,Candidate A,Not enough information,Your vote goes to your next preferred candidate,The Republican,Don't know,Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate B,Candidate B|Candidate A|Don't know,NA,6364c818-462d-4d8a-96fd-c7719f0ee53a,7614aeee-b6cd-4754-8f76-c9f3ec004976,Infographic,Libertarian,35,18,NA,FL_21|FL_19|FL_20,FL_14,FL_16,Don't know,Don't know,The Democrat winning (by plurality rules)|The Republican winning (by RCV rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:42 AM,04/28/2025 10:49:18 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,45,"Some college, but no degree",Female,Business Management & Administration,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$100,000-$124,999",White,Part-time
2025-04-28T09:42:47Z,2025-04-28T09:49:17Z,IP Address,174.64.171.208,100,390,TRUE,2025-04-28T09:49:18Z,30.0245,-91.7496,EN,0.800000011920929,"Yes, I understand and consent to take part in the survey",I would vote for the Republican,Yes,No,NA,NA,NA,NA,Very well,Moderately well,Candidate A,Not enough information,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,The Republican,Candidate A winning (by plurality rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Don't know,Candidate B|Candidate A|Don't know,I am more confused now by RCV.,e1686703-75bd-4268-b3db-ddf802b6ad91,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Libertarian,44,9,NA,FL_21|FL_20|FL_19,FL_14,FL_17,Don't know,Don't know,The Democrat winning (by plurality rules)|The Republican winning (by RCV rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:45 AM,04/28/2025 10:49:21 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,65,"Bachelor's degree (for example: BA, AB, BS)",Male,Retired,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,Yes,United States,"$90,000-$99,999",White,Retired
2025-04-28T10:20:12Z,2025-04-28T10:21:01Z,IP Address,73.213.136.52,100,49,TRUE,2025-04-28T10:21:02Z,39.0488,-76.8343,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Republican,Yes,Yes,NA,NA,NA,NA,Very well,Moderately well,Candidate B,Candidate A,Candidate B,Candidate C,Candidate A,Your vote goes to the winning candidate,The Republican,Candidate A winning (by plurality rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate A,Candidate B|Candidate A|Don't know,NA,0d9dcfa5-1e02-4dae-921d-36d970caf284,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Libertarian,44,9,NA,FL_21|FL_20|FL_19,FL_14,FL_17,The Republican winning (by RCV rules),The Republican winning (by RCV rules),The Democrat winning (by plurality rules)|The Republican winning (by RCV rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 11:20:11 AM,04/28/2025 11:21:04 AM,Redirect,E3CB3C8894,0,0,0,Pending,NA,28,"Bachelor's degree (for example: BA, AB, BS)",Male,Finance,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,Yes,United States,"$100,000-$124,999",Black or African American,Full-time
2025-04-28T10:19:59Z,2025-04-28T10:21:35Z,IP Address,68.206.177.238,100,96,TRUE,2025-04-28T10:21:36Z,31.7703,-106.3006,EN,0.8999999761581421,"Yes, I understand and consent to take part in the survey",I would vote for the Republican,No,No,NA,NA,NA,NA,Moderately well,Moderately well,Candidate A,Not enough information,Candidate A,Not enough information,Not enough information,Your vote is discarded,The Democrat,Candidate A winning (by plurality rules),Candidate B winning (by RCV rules)|Candidate A winning (by plurality rules)|Don't know,Candidate A,Candidate A|Candidate B|Don't know,NA,4d2741ed-c71f-4e6e-a819-1246ecd3da58,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Libertarian,35,18,NA,FL_20|FL_21|FL_19,FL_14,FL_16,Don't know,Don't know,The Republican winning (by RCV rules)|The Democrat winning (by plurality rules)|Don't know,The Republican|The Democrat|Don't know,04/28/2025 11:19:58 AM,04/28/2025 11:21:40 AM,Redirect,E3CB3C8894,0,0,0,Pending,NA,35,"Bachelor's degree (for example: BA, AB, BS)",Male,Business Management & Administration,In a relationship,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,Yes,United States,Prefer not to say,Other,Full-time
2025-04-28T10:19:54Z,2025-04-28T10:21:37Z,IP Address,73.236.217.92,100,103,TRUE,2025-04-28T10:21:38Z,41.4276,-79.7026,EN,0.8999999761581421,"Yes, I understand and consent to take part in the survey",I would vote for the Republican,No,No,NA,NA,NA,NA,Not well at all,Not well at all,Candidate A,Candidate A,Candidate A,Candidate A,Candidate A,Your vote goes to your next preferred candidate,The Republican,Candidate B winning (by RCV rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate B,Candidate B|Candidate A|Don't know,NA,0f245387-2de9-4aac-a45f-34e474027d43,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Libertarian,44,9,NA,FL_21|FL_20|FL_19,FL_14,FL_17,The Republican winning (by RCV rules),The Republican winning (by RCV rules),The Democrat winning (by plurality rules)|The Republican winning (by RCV rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 11:19:53 AM,04/28/2025 11:21:40 AM,Redirect,E3CB3C8894,0,0,0,Pending,NA,33,"Bachelor's degree (for example: BA, AB, BS)",Male,Business Management & Administration,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,Yes,United States,"$40,000-$49,999",White,Full-time
2025-04-28T10:19:47Z,2025-04-28T10:21:53Z,IP Address,173.169.1.98,100,125,TRUE,2025-04-28T10:21:53Z,28.9284,-82.4921,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,No,NA,NA,NA,NA,Perfectly well,Perfectly well,Candidate A,Not enough information,Candidate A,Candidate A,Not enough information,Your vote goes to your next preferred candidate,Don't know,Candidate B winning (by RCV rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Don't know,Candidate B|Candidate A|Don't know,NA,ffd5ebb8-6231-40c0-873f-6e37cdcf5995,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Libertarian,35,18,NA,FL_20|FL_21|FL_19,FL_14,FL_16,The Republican winning (by RCV rules),The Republican winning (by RCV rules),The Democrat winning (by plurality rules)|The Republican winning (by RCV rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 11:19:46 AM,04/28/2025 11:21:55 AM,Redirect,E3CB3C8894,0,0,0,Pending,NA,30,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$30,000-$39,999",White,Part-time
2025-04-28T10:19:45Z,2025-04-28T10:21:53Z,IP Address,66.65.70.11,100,128,TRUE,2025-04-28T10:21:54Z,40.6817,-73.8395,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,No,No,NA,NA,NA,NA,Moderately well,Moderately well,Candidate A,Candidate A,Candidate A,Candidate A,Candidate A,Your vote goes to your next preferred candidate,NA,Candidate A winning (by plurality rules),Candidate B winning (by RCV rules)|Candidate A winning (by plurality rules)|Don't know,Candidate A,Candidate A|Candidate B|Don't know,The survey was easy to complete and understand.,4465784e-7ce6-46da-8bd8-630226c56403,7614aeee-b6cd-4754-8f76-c9f3ec004976,Infographic,Green,44,9,NA,FL_19|FL_21|FL_20,FL_13,FL_17,The Republican winning (by plurality rules),The Republican,The Democrat winning (by RCV rules)|The Republican winning (by plurality rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 11:19:43 AM,04/28/2025 11:21:55 AM,Redirect,E3CB3C8894,0,0,0,Pending,NA,29,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,"Science, Technology, Engineering & Mathematics",Single,Democrat,"Yes, another Hispanic, Latino, or Spanish origin – (for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.)",Woman,Yes,United States,"$200,000-$224,999",White,Unemployed
2025-04-28T10:19:55Z,2025-04-28T10:21:57Z,IP Address,70.107.82.32,100,121,TRUE,2025-04-28T10:21:57Z,40.7279,-73.5118,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,No,NA,NA,NA,NA,Very well,Moderately well,Candidate A,Candidate A,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,The Democrat,Candidate A winning (by plurality rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate A,Candidate B|Candidate A|Don't know,NA,9b79cf2f-b451-4200-998b-a146f12c2ed3,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Libertarian,44,9,NA,FL_20|FL_21|FL_19,FL_14,FL_17,The Democrat winning (by plurality rules),The Democrat winning (by plurality rules),The Democrat winning (by plurality rules)|The Republican winning (by RCV rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 11:19:54 AM,04/28/2025 11:21:59 AM,Redirect,E3CB3C8894,0,0,0,Pending,NA,32,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$100,000-$124,999",White,Full-time
